Time Stamp,f_x,f_y,f_z,w_x,w_y,w_z
61924.95,0.615295921,0.126657644,9.706344697,0.00347626,-0.000701246,-0.00118209
61925.15,0.615471689,0.124794806,9.705832199,0.003422827,-0.00070529,-0.001161396
61925.35,0.615634541,0.12303955,9.705254428,0.003378585,-0.000709265,-0.001144002
61925.55,0.615814466,0.121421318,9.704557332,0.003342454,-0.000713404,-0.001129453
61925.75,0.615994384,0.11998357,9.703764796,0.003317722,-0.000717528,-0.001118992
61925.95,0.616144586,0.118577903,9.70289667,0.003301517,-0.000721538,-0.001111536
61926.15,0.616260251,0.117231408,9.701954076,0.00329553,-0.000725375,-0.001107708
61926.35,0.616332434,0.116086178,9.700958746,0.003306111,-0.000728837,-0.001109902
61926.55,0.61637104,0.115089104,9.699881347,0.003330707,-0.000732048,-0.00111713
61926.75,0.616443532,0.114148343,9.698602265,0.003360523,-0.000735626,-0.001126008
61926.95,0.616562602,0.113262717,9.697093759,0.003394736,-0.000739668,-0.001136201
61927.15,0.61671383,0.112415789,9.695366283,0.003434214,-0.000744077,-0.001148028
61927.35,0.616908323,0.111621515,9.69339538,0.003478853,-0.000748928,-0.001161425
61927.55,0.617103433,0.111039171,9.691252219,0.003538507,-0.000753742,-0.001180123
61927.75,0.61729791,0.110686301,9.688930761,0.003614246,-0.000758494,-0.001204506
61927.95,0.617526572,0.110504486,9.686362877,0.003701281,-0.000763509,-0.001232726
61928.15,0.61776899,0.112809081,9.683659105,0.003795267,-0.000769251,-0.001263657
61928.35,0.617992694,0.124393807,9.681112221,0.003874628,-0.000777472,-0.001290718
61928.55,0.618191362,0.14771123,9.678813881,0.003931818,-0.000788831,-0.001311607
61928.75,0.618354092,0.183291557,9.676793594,0.003968599,-0.00080333,-0.001327083
61928.95,0.618476878,0.233335174,9.675129358,0.003977941,-0.000821577,-0.001334979
61929.15,0.618593641,0.294969504,9.673650635,0.003967081,-0.000843009,-0.001337326
61929.35,0.618701091,0.369634264,9.67240651,0.003932331,-0.000867999,-0.001333038
61929.55,0.618775731,0.462151971,9.671602994,0.00385954,-0.000897757,-0.00131787
61929.75,0.618824809,0.564334063,9.671170705,0.003754229,-0.000931926,-0.001293574
61929.95,0.618848461,0.651399812,9.670947699,0.003634562,-0.000969208,-0.00126602
61930.15,0.618843854,0.71604591,9.670932791,0.00350207,-0.001009576,-0.001235783
