Time Stamp,Lat,Long,Alt,Azi,Pitch,Roll,Vn,Ve,Vu,Forward Speed
59660,43.65927869,-79.37822731,63.6809,343.0596249,0.0655704,-0.461883004,0,0.0053,0.0019,0.005630275
59660.2,43.65927868,-79.37822732,63.6919,343.0607455,0.064932384,-0.453572817,0.0027,0.0006,0.0023,0.003597221
59660.4,43.65927868,-79.37822734,63.7039,343.060516,0.064503975,-0.462507194,0.0015,0.0022,0.0013,0.002963106
59660.6,43.65927867,-79.37822734,63.7159,343.0603404,0.064242513,-0.452534019,0.0008,0.0057,0.0011,0.005860034
59660.8,43.65927866,-79.37822735,63.7279,343.0598074,0.064700832,-0.453418631,0,0.002,0.0007,0.002118962
59661,43.65927865,-79.37822736,63.7398,343.0594933,0.064576593,-0.455214343,0.0007,0.0068,0.0012,0.006940461
59661.2,43.65927864,-79.37822737,63.7603,343.0606702,0.0641752,-0.451930753,-0.0002,0.0049,0.0004,0.004920366
59661.4,43.65927862,-79.37822739,63.7817,343.0603543,0.063972576,-0.458269843,-0.0001,0.0058,0.0008,0.005855766
59661.6,43.65927861,-79.37822741,63.8027,343.0604687,0.065034861,-0.451386811,-0.0002,0.0085,0.0012,0.008586617
59661.8,43.65927859,-79.37822742,63.8242,343.0592032,0.064621624,-0.450976662,-0.0002,0.0048,0.0018,0.005130302
59662,43.65927858,-79.37822744,63.8458,343.0598021,0.06370189,-0.451929954,0.0004,0.0073,0.0017,0.007505998
59662.2,43.65927857,-79.37822744,63.8541,343.0618952,0.064310124,-0.453186409,-0.0006,0.0019,0.0013,0.002379075
59662.4,43.65927857,-79.37822745,63.8578,343.0623186,0.063854485,-0.457889052,-0.0009,0.0019,0.0009,0.002286919
59662.6,43.65927856,-79.37822745,63.8615,343.0620223,0.063814483,-0.456267848,0.0001,0.0033,0.003,0.004460942
59662.8,43.65927856,-79.37822746,63.8652,343.0622471,0.064285553,-0.459880732,-0.0005,0.0015,0.0019,0.002471841
59663,43.65927856,-79.37822746,63.8689,343.0621445,0.063223022,-0.460656473,0.0001,0.0038,0.0017,0.004164133
